Passenger no.	Pclass	Sex	SibSp	Parch	Embarked	Survived
0		0	1	1	0	2		0	
1		2	1	1	0	1		0	
2		0	1	1	0	0		1	
3		0	0	1	0	0		1	
4		0	1	1	0	2		0	
5		1	0	1	0	2		0	
6		0	1	1	0	2		1	
7		1	1	1	1	2		1	
8		2	1	1	0	0		1	
9		2	1	0	1	0		1	
10		1	1	0	0	2		0	
11		2	1	0	0	2		0	
12		2	0	1	0	0		0	
13		2	0	1	2	2		0	
14		2	0	0	2	1		0	
15		0	1	0	2	0		1	
16		2	1	1	0	2		0	
17		1	1	1	1	2		0	
18		1	1	2	1	2		0	
19		2	1	0	0	0		0	
20		2	1	0	0	2		1	
21		2	1	0	1	2		0	
22		2	1	0	0	2		1	
23		1	0	0	0	2		1	
24		1	0	0	0	2		1	
25		2	0	1	3	2		0	
26		0	0	1	0	1		1	
27		2	1	0	0	2		0	
28		2	1	0	0	1		1	
29		0	1	1	0	2		0	
30		0	1	1	2	2		1	
31		0	0	0	1	2		1	
32		2	0	0	0	1		0	
33		0	1	2	0	1		0	
34		1	0	0	0	2		1	
35		1	1	1	1	2		0	
36		2	0	3	2	2		0	
37		1	0	0	1	2		1	
38		2	1	1	0	1		0	
39		2	0	0	0	1		1	
40		1	0	0	2	2		1	
41		1	1	0	0	2		0	
42		1	1	0	0	2		0	
43		0	1	1	0	0		1	
44		0	1	1	0	2		0	
45		2	0	0	0	0		0	
46		1	0	1	0	0		1	
47		2	1	0	0	2		0	
48		2	1	0	0	2		0	
49		1	1	0	0	2		0	
50		2	0	1	0	2		0	
51		2	1	1	0	2		0	
52		1	1	0	0	2		0	
53		1	0	1	2	2		1	
54		2	0	0	0	2		0	
55		0	0	1	1	2		1	
56		2	1	0	0	2		0	
57		2	0	1	0	2		0	
58		2	1	0	0	2		0	
59		2	0	0	0	2		1	
60		2	1	0	0	2		0	
61		2	0	4	2	2		1	
62		2	1	0	0	2		1	
63		0	1	0	0	0		0	
64		2	1	0	0	0		0	
65		0	1	0	1	0		0	
66		2	1	0	0	2		0	
67		2	1	4	1	2		0	
68		2	1	0	0	2		0	
69		2	0	1	6	2		0	
70		2	1	0	0	2		0	
71		2	1	0	0	0		0	
72		0	0	1	0	0		1	
73		2	0	0	0	2		0	
74		2	0	0	0	1		1	
75		2	0	1	1	1		0	
76		2	1	0	0	1		0	
77		0	0	3	2	2		1	
78		0	1	0	1	0		0	
79		2	0	1	1	2		1	
80		2	0	0	0	2		0	
81		2	1	0	0	2		0	
82		2	1	0	0	2		0	
83		1	0	1	1	2		1	
84		2	1	0	0	2		0	
85		0	0	3	2	2		1	
86		2	1	1	2	2		1	
87		2	1	0	0	2		0	
88		2	1	1	0	2		0	
89		0	0	0	0	2		1	
90		2	1	1	0	1		0	
91		1	0	0	0	2		1	
92		2	0	2	2	2		0	
93		0	0	0	1	0		1	
94		2	1	0	0	2		0	
95		0	1	1	0	2		1	
96		2	1	2	0	2		0	
97		2	1	1	0	2		0	
98		2	1	0	0	2		0	
99		2	1	5	2	2		0	
100		2	1	0	0	2		0	
101		2	1	0	0	2		1	
102		1	1	0	0	2		1	
